A,532967,Kiri Industries,KIRIINDUS
A,500241,Kirl.Brother(2),KIRLOSBROS
A,500245,Kirl.Ferrous(5),KIRLFER
A,533293,Kirl.OilEng(2),KIRLOSENG
A,505283,Kirl.Pneumatic(2),KIRLPNU
A,532942,KNR Constr.(2),KNRCON
A,500247,Kotak Bank(5),KOTAKBANK
A,532985,Kotak Sensex(1),
A,542323,KPI Green Energy Ltd,KPIGREEN
A,542651,Kpit Techno.Ltd,KPITTECH
A,532889,KPR.Mill ltd(1),KPRMILL
A,530813,KRBL Ltd.(1),KRBL
A,543308,Krishna Institute,KIMS
A,500249,KSB Ltd,KSB
A,533519,L&T Fin.Holding,L&TFH
A,540115,L&T Techno.Serv(2),LTTS
A,500252,Lakshmi Mach(10),LAXMIMACH
A,526947,La-opala Rg(2),LAOPALA
A,500510,Larsen Tubro(2),LT
A,543398,Latent View Analyt(1),LATENTVIEW
A,540222,Laurus Labs Ltd(2),LAURUSLABS
A,543277,Laxmi Organic Ind(2),LXCHEM
A,541233,Lemon Tree Hotels,LEMONTREE
A,500250,LG Balkrishnan,LGBBROSLTD
A,500253,LIC Hous.Fin(2),LICHSGFIN
A,539487,Lic Nomura MF Exchng,LICNETFSEN
A,543526,Life Insurance Corp.,LICI
A,523457,Linde india Ltd.,LINDEINDIA
A,512455,Lioyd Metal&E(1),LLOYDSME
A,539992,LLoyds Engineer(1),LLOYDSENGG
A,532783,Lt Foods Ltd(1),LTFOODS
A,540005,LTIMindtree Ltd(1),LTIM
A,532796,Lumax Auto Tech(2),LUMAXTECH
A,500257,Lupin Ltd.(2),LUPIN
A,532720,M&M Finance(2),M&MFIN
A,543287,Macrotech Developers,LODHA
A,500266,Mah.Scooter,MAHSCOOTER
A,500265,Maha.Seamless(5),MAHSEAMLES
A,539957,Mahanagar Gas Ltd,MGL
A,532313,Mahind Lifes Dev,MAHLIFE
A,500520,Mahindra & Mah(5),M&M
A,533088,Mahindra Holidays,MHRIL
A,540768,Mahindra Logistics,MAHLOG
A,533169,Man Infraconst.(2),MANINFRA
A,531213,Manappuram Fin(2),MANAPPURAM
A,531642,Marico (1),MARICO
A,524404,Marksans(1),MARKSANS
A,532500,Maruti Suzuki(5),MARUTI
A,540749,MAS Financial Serv,MASFIN
A,523704,Mastek Ltd(5),MASTEK
A,500271,Max Fin.Serv.(2),MFSL
A,543220,Max Healthcare Inst,MAXHEALTH
A,543237,Mazagon Dock Shipbuild,MAZDOCK
A,543427,Medplus Health Ser(2),MEDPLUS
A,543331,Meghmani Organic(1),MOL
A,543426,Metro Brands (5),METROBRAND
A,542650,Metropolis Health(2),METROPOLIS
A,538962,Minda Corpo.Lt(2),MINDACORP
A,513377,Mineral&Metl(1),MMTC
A,543999,Mirae Asset S&P BSE Sensex,SENSEXETF
A,541195,Mishra Dhatu Nigam,MIDHANI
A,533286,MOIL LTD,MOIL
A,533080,Mold-Tek Packaging,MOLDTKPAC
A,500288,Morepen Lab(2),MOREPENLAB
A,543498,Motherson Sumi Wir(1),MSUMI
A,532892,Motilal OswalF(1),MOTILALOFS
A,526299,Mphasis Bfl,MPHASIS
